Data,Ticker,IBX,Retorno,Mom12,Mom6,Volat12,Volat6,MTUM12,MTUM6,Sharpe12,MaxDD12,Beta12
Jan-2009,A,1,,,,,,,,,,
Jan-2009,AAPL,1,,,,,,,,,,
Jan-2009,ABBV,0,,,,,,,,,,
Jan-2009,ABNB,0,,,,,,,,,,
Jan-2009,ABT,1,,,,,,,,,,
Jan-2009,ACGL,1,,,,,,,,,,
Jan-2009,ACN,1,,,,,,,,,,
Jan-2009,ADBE,1,,,,,,,,,,
Jan-2009,ADI,1,,,,,,,,,,
Jan-2009,ADM,1,,,,,,,,,,
Jan-2009,ADP,1,,,,,,,,,,
Jan-2009,ADSK,1,,,,,,,,,,
Jan-2009,AEE,1,,,,,,,,,,
Jan-2009,AEP,1,,,,,,,,,,
Jan-2009,AES,1,,,,,,,,,,
Jan-2009,AFL,1,,,,,,,,,,
Jan-2009,AIG,1,,,,,,,,,,
Jan-2009,AIZ,1,,,,,,,,,,
Jan-2009,AJG,1,,,,,,,,,,
Jan-2009,AKAM,1,,,,,,,,,,
Jan-2009,ALB,1,,,,,,,,,,
Jan-2009,ALGN,1,,,,,,,,,,
Jan-2009,ALL,1,,,,,,,,,,
Jan-2009,ALLE,0,,,,,,,,,,
Jan-2009,AMAT,1,,,,,,,,,,
Jan-2009,AMCR,0,,,,,,,,,,
Jan-2009,AMD,1,,,,,,,,,,
Jan-2009,AME,1,,,,,,,,,,
Jan-2009,AMGN,1,,,,,,,,,,
Jan-2009,AMP,1,,,,,,,,,,
Jan-2009,AMT,1,,,,,,,,,,
Jan-2009,AMZN,1,,,,,,,,,,
Jan-2009,ANET,0,,,,,,,,,,
Jan-2009,AON,1,,,,,,,,,,
Jan-2009,AOS,1,,,,,,,,,,
Jan-2009,APA,1,,,,,,,,,,
Jan-2009,APD,1,,,,,,,,,,
Jan-2009,APH,1,,,,,,,,,,
Jan-2009,APO,0,,,,,,,,,,
Jan-2009,APP,0,,,,,,,,,,
Jan-2009,APTV,0,,,,,,,,,,
Jan-2009,ARE,1,,,,,,,,,,
Jan-2009,ARES,0,,,,,,,,,,
Jan-2009,ATO,1,,,,,,,,,,
Jan-2009,AVB,1,,,,,,,,,,
Jan-2009,AVGO,0,,,,,,,,,,
Jan-2009,AVY,1,,,,,,,,,,
Jan-2009,AWK,1,,,,,,,,,,
Jan-2009,AXON,1,,,,,,,,,,
Jan-2009,AXP,1,,,,,,,,,,
Jan-2009,AZO,1,,,,,,,,,,
Jan-2009,BA,1,,,,,,,,,,
Jan-2009,BAC,1,,,,,,,,,,
Jan-2009,BALL,1,,,,,,,,,,
Jan-2009,BAX,1,,,,,,,,,,
Jan-2009,BBY,1,,,,,,,,,,
Jan-2009,BDX,1,,,,,,,,,,
Jan-2009,BEN,1,,,,,,,,,,
Jan-2009,BF-B,1,,,,,,,,,,
Jan-2009,BG,1,,,,,,,,,,
Jan-2009,BIIB,1,,,,,,,,,,
Jan-2009,BKNG,1,,,,,,,,,,
Jan-2009,BKR,1,,,,,,,,,,
Jan-2009,BLDR,1,,,,,,,,,,
Jan-2009,BLK,1,,,,,,,,,,
Jan-2009,BMY,1,,,,,,,,,,
Jan-2009,BNY,1,,,,,,,,,,
Jan-2009,BR,1,,,,,,,,,,
Jan-2009,BRK-B,1,,,,,,,,,,
Jan-2009,BRO,1,,,,,,,,,,
Jan-2009,BSX,1,,,,,,,,,,
Jan-2009,BX,1,,,,,,,,,,
Jan-2009,BXP,1,,,,,,,,,,
Jan-2009,C,1,,,,,,,,,,
Jan-2009,CAG,1,,,,,,,,,,
Jan-2009,CAH,1,,,,,,,,,,
Jan-2009,CARR,0,,,,,,,,,,
Jan-2009,CASY,1,,,,,,,,,,
Jan-2009,CAT,1,,,,,,,,,,
Jan-2009,CB,1,,,,,,,,,,
Jan-2009,CBOE,0,,,,,,,,,,
Jan-2009,CBRE,1,,,,,,,,,,
Jan-2009,CCI,1,,,,,,,,,,
Jan-2009,CCL,1,,,,,,,,,,
Jan-2009,CDNS,1,,,,,,,,,,
Jan-2009,CDW,0,,,,,,,,,,
Jan-2009,CEG,0,,,,,,,,,,
Jan-2009,CF,1,,,,,,,,,,
Jan-2009,CFG,0,,,,,,,,,,
Jan-2009,CHD,1,,,,,,,,,,
Jan-2009,CHRW,1,,,,,,,,,,
Jan-2009,CHTR,0,,,,,,,,,,
Jan-2009,CI,1,,,,,,,,,,
Jan-2009,CIEN,1,,,,,,,,,,
Jan-2009,CINF,1,,,,,,,,,,
Jan-2009,CL,1,,,,,,,,,,
